Time,ObjectName,X,Y
0,Log,0.4159487,0.02687493
0.02,Log,0.4159487,0.02687493
0.07396696,Log,0.4159487,0.02687493
0.08378179,Log,0.4159487,0.02687493
0.08510792,Log,0.4159487,0.02687493
0.08608625,Log,0.4159487,0.02687493
0.08701004,Log,0.4159487,0.02687493
0.0878905,Log,0.4159487,0.02687493
0.08876891,Log,0.4159487,0.02687493
0.08956391,Log,0.4159487,0.02687493
0.09043416,Log,0.4159487,0.02687493
0.09148033,Log,0.4159487,0.02687493
0.09236667,Log,0.4159487,0.02687493
0.09314754,Log,0.4159487,0.02687493
0.09397563,Log,0.4159487,0.02687493
0.09488679,Log,0.4159487,0.02687493
0.09579242,Log,0.4159487,0.02687493
0.09655204,Log,0.4159487,0.02687493
0.09726458,Log,0.4159487,0.02687493
0.09807491,Log,0.4159487,0.02687493
0.09898262,Log,0.4159487,0.02687493
0.09975229,Log,0.4159487,0.02687493
0.1004456,Log,0.4159487,0.02687493
0.1013434,Log,0.4159487,0.02687493
0.1020718,Log,0.4159487,0.02687493
0.1028913,Log,0.4159487,0.02687493
0.1038523,Log,0.4159487,0.02687493
0.1046575,Log,0.4159487,0.02687493
0.1054561,Log,0.4159487,0.02687493
0.1063167,Log,0.4159487,0.02687493
0.1072889,Log,0.4159487,0.02687493
0.108191,Log,0.4159487,0.02687493
0.1090584,Log,0.4159487,0.02687493
0.109862,Log,0.4159487,0.02687493
0.1106765,Log,0.4159487,0.02687493
0.1115778,Log,0.4159487,0.02687493
0.1123619,Log,0.4159487,0.02687493
0.1132859,Log,0.4159487,0.02687493
0.1140505,Log,0.4159487,0.02687493
0.1147616,Log,0.4159487,0.02687493
0.1204318,Log,0.4159487,0.02687493
0.1214616,Log,0.4159487,0.02687493
0.1222684,Log,0.4159487,0.02687493
0.1230686,Log,0.4159487,0.02687493
0.1369524,Log,0.4159487,0.02687493
0.137842,Log,0.4159487,0.02687493
0.1386839,Log,0.4159487,0.02687493
0.1395868,Log,0.4159487,0.02687493
0.1403943,Log,0.4159487,0.02687493
0.1535964,Log,0.4159487,0.02687493
0.154587,Log,0.4159487,0.02687493
0.1554814,Log,0.4159487,0.02687493
0.1562585,Log,0.4159487,0.02687493
0.1703457,Log,0.4159487,0.02687493
0.1714877,Log,0.4159487,0.02687493
0.1722867,Log,0.4159487,0.02687493
0.173051,Log,0.4159487,0.02687493
0.1870997,Log,0.4159487,0.02687493
0.188385,Log,0.4159487,0.02687493
0.1891658,Log,0.4159487,0.02687493
0.1899735,Log,0.4159487,0.02687493
0.2041812,Log,0.4159487,0.02687493
0.2052972,Log,0.4159487,0.02687493
0.2065241,Log,0.4159487,0.02687493
0.2204085,Log,0.4159487,0.02687493
0.2214948,Log,0.4159487,0.02687493
0.2224669,Log,0.4159487,0.02687493
0.2232461,Log,0.4159487,0.02687493
0.2370068,Log,0.4159487,0.02687493
0.2377894,Log,0.4159487,0.02687493
0.2386819,Log,0.4159487,0.02687493
0.239573,Log,0.4159487,0.02687493
0.2536545,Log,0.4159487,0.02687493
0.2549972,Log,0.4159487,0.02687493
0.2558741,Log,0.4159487,0.02687493
0.2567885,Log,0.4159487,0.02687493
0.2706124,Log,0.4159487,0.02687493
0.2717618,Log,0.4159487,0.02687493
0.2725735,Log,0.4159487,0.02687493
0.2734811,Log,0.4159487,0.02687493
0.2868726,Log,0.4159487,0.02687493
0.2878909,Log,0.4159487,0.02687493
0.2887921,Log,0.4159487,0.02687493
0.2895415,Log,0.4159487,0.02687493
