Time,ObjectName,X,Y
5.601624,star55,-8,6.9464
5.584796,star55,-8,6.8892
5.567538,star55,-8,6.8284
5.551301,star55,-8,6.763999
5.534704,star55,-8,6.695999
5.518342,star55,-8,6.645999
5.512022,star55,-8,6.574399
5.510868,star55,-8,6.524399
5.501607,star55,-8,6.474399
5.500401,star55,-8,6.424398
5.499261,star55,-8,6.374398
5.498167,star55,-8,6.324398
5.49716,star55,-8,6.274398
5.496161,star55,-8,6.224398
5.495267,star55,-8,6.174397
5.494267,star55,-8,6.099197
5.488666,star55,-8,6.049197
5.482729,star55,-8,5.999197
5.468278,star55,-8,5.920397
5.466998,star55,-8,5.870397
5.449206,star55,-8,5.787996
5.434825,star55,-8,5.701996
5.418592,star55,-8,5.651996
5.400837,star55,-8,5.562396
5.384902,star55,-8,5.469196
5.378872,star55,-8,5.419196
5.373244,star55,-8,5.322395
5.372267,star55,-8,5.272395
5.366824,star55,-8,5.222395
5.351608,star55,-8,5.121995
5.350533,star55,-8,5.071995
5.345049,star55,-8,5.021995
5.344028,star55,-8,4.971994
5.343156,star55,-8,4.921994
5.338855,star55,-8,4.871994
5.337863,star55,-8,4.821994
5.337057,star55,-8,4.771994
5.336141,star55,-8,4.721993
5.322331,star55,-8,4.617993
5.316731,star55,-8,4.567993
5.301612,star55,-8,4.460393
5.300551,star55,-8,4.410393
5.284305,star55,-8,4.299192
5.268298,star55,-8,4.184392
5.251889,star55,-8,4.065992
5.234873,star55,-8,3.943992
5.228926,star55,-8,3.893992
5.223617,star55,-8,3.843992
5.222661,star55,-8,3.793993
5.221753,star55,-8,3.743993
5.22085,star55,-8,3.693993
5.21994,star55,-8,3.643993
5.219042,star55,-8,3.593993
5.205733,star55,-8,3.468393
5.204761,star55,-8,3.418393
5.199441,star55,-8,3.368393
5.184883,star55,-8,3.239193
5.183851,star55,-8,3.189193
5.178302,star55,-8,3.139193
5.17747,star55,-8,3.089193
5.176672,star55,-8,3.039193
5.172497,star55,-8,2.906393
5.17142,star55,-8,2.856393
5.166023,star55,-8,2.806393
5.152143,star55,-8,2.669993
5.151037,star55,-8,2.619993
5.145811,star55,-8,2.569993
5.144951,star55,-8,2.519994
5.144064,star55,-8,2.469994
5.139102,star55,-8,2.419994
5.138152,star55,-8,2.369994
5.137243,star55,-8,2.319994
5.136361,star55,-8,2.269994
5.122437,star55,-8,2.129994
5.11694,star55,-8,2.079994
5.101521,star55,-8,1.936394
5.100437,star55,-8,1.886394
5.0837,star55,-8,1.739194
5.068562,star55,-8,1.588394
5.06324,star55,-8,1.538394
5.057826,star55,-8,1.488394
5.05686,star55,-8,1.438394
5.055958,star55,-8,1.388394
5.055052,star55,-8,1.338394
5.054158,star55,-8,1.183994
5.05315,star55,-8,1.133994
5.035,star55,-8,1.083994
5.029644,star55,-8,0.9259944
5.028627,star55,-8,0.8759944
5.023262,star55,-8,0.8259944
5.022254,star55,-8,0.7759944
5.021343,star55,-8,0.7259943
5.020464,star55,-8,0.6759943
5.01966,star55,-8,0.6259943
5.005641,star55,-8,0.4643943
5.004659,star55,-8,0.4143943
4.999356,star55,-8,0.3643943
4.984973,star55,-8,0.1991943
4.983947,star55,-8,0.1491943
4.967438,star55,-8,-0.01960564
4.966457,star55,-8,-0.06960564
4.950884,star55,-8,-0.2420056
4.934939,star55,-8,-0.4180056
4.92907,star55,-8,-0.4680056
4.92364,star55,-8,-0.5180056
4.922659,star55,-8,-0.5680056
4.921746,star55,-8,-0.6180056
4.920857,star55,-8,-0.6680056
4.919936,star55,-8,-0.7180057
4.919055,star55,-8,-0.7680057
4.90564,star55,-8,-0.9476057
4.900357,star55,-8,-0.9976057
4.885212,star55,-8,-1.180806
4.884256,star55,-8,-1.230806
4.867686,star55,-8,-1.417605
4.851706,star55,-8,-1.608005
4.834812,star55,-8,-1.802005
4.818197,star55,-8,-1.852005
4.801797,star55,-8,-2.049605
4.800603,star55,-8,-2.099605
4.794933,star55,-8,-2.300805
4.793849,star55,-8,-2.350805
4.784921,star55,-8,-2.400805
4.768144,star55,-8,-2.605605
4.767161,star55,-8,-2.655605
4.761555,star55,-8,-2.705605
4.760541,star55,-8,-2.755605
4.755619,star55,-8,-2.805604
4.754647,star55,-8,-3.014004
4.753764,star55,-8,-3.064004
4.734995,star55,-8,-3.114004
4.718292,star55,-8,-3.326004
4.717118,star55,-8,-3.376004
4.700632,star55,-8,-3.591604
4.685128,star55,-8,-3.810804
4.679108,star55,-8,-3.860804
4.673731,star55,destroyed,destroyed
