Time,ObjectName,X,Y
4.615563,star56,-6,6.95
4.60543,star56,-6,6.896399
4.604246,star56,-6,6.846399
4.584729,star56,-6,6.789199
4.568087,star56,-6,6.728399
4.551679,star56,-6,6.663999
4.534742,star56,-6,6.595999
4.517572,star56,-6,6.545999
4.51143,star56,-6,6.474399
4.510334,star56,-6,6.424398
4.501258,star56,-6,6.374398
4.500236,star56,-6,6.324398
4.488818,star56,-6,6.249198
4.487758,star56,-6,6.199198
4.482247,star56,-6,6.149198
4.468206,star56,-6,6.070397
4.467124,star56,-6,6.020397
4.461447,star56,-6,5.970397
4.460453,star56,-6,5.920397
4.455832,star56,-6,5.870397
4.454853,star56,-6,5.787996
4.453862,star56,-6,5.737996
4.448431,star56,-6,5.687996
4.434944,star56,-6,5.601996
4.433828,star56,-6,5.551996
4.427978,star56,-6,5.501996
4.427062,star56,-6,5.451995
4.422125,star56,-6,5.401995
4.421037,star56,-6,5.351995
4.420166,star56,-6,5.301995
4.419246,star56,-6,5.251995
4.405581,star56,-6,5.162395
4.400034,star56,-6,5.112394
4.385129,star56,-6,5.019194
4.384146,star56,-6,4.969194
4.367527,star56,-6,4.872394
4.351484,star56,-6,4.771994
4.334889,star56,-6,4.667994
4.32903,star56,-6,4.617993
4.323633,star56,-6,4.567993
4.322659,star56,-6,4.517993
4.321752,star56,-6,4.467993
4.320859,star56,-6,4.417993
4.319947,star56,-6,4.367992
4.319066,star56,-6,4.317992
4.305626,star56,-6,4.210392
4.304665,star56,-6,4.160392
4.299344,star56,-6,4.110392
4.298463,star56,-6,4.060391
4.288687,star56,-6,3.949192
4.283024,star56,-6,3.899192
4.268226,star56,-6,3.784392
4.26715,star56,-6,3.734392
4.2509,star56,-6,3.615992
4.234944,star56,-6,3.493992
4.218202,star56,-6,3.443992
4.201835,star56,-6,3.318392
4.185097,star56,-6,3.189192
4.1685,star56,-6,3.056392
4.151191,star56,-6,2.919992
4.134901,star56,-6,2.779992
4.12887,star56,-6,2.729992
4.123258,star56,-6,2.679992
4.122249,star56,-6,2.629992
4.121339,star56,-6,2.579993
4.120458,star56,-6,2.529993
4.119677,star56,-6,2.479993
4.105715,star56,-6,2.336393
4.104737,star56,-6,2.286393
4.099343,star56,-6,2.236393
4.084864,star56,-6,2.089193
4.083852,star56,-6,2.039193
4.067342,star56,-6,1.888393
4.066252,star56,-6,1.838393
4.050937,star56,-6,1.683993
4.049965,star56,-6,1.633993
4.034382,star56,-6,1.475993
4.03334,star56,-6,1.425993
4.017691,star56,-6,1.375993
4.001607,star56,-6,1.214393
4.000474,star56,-6,1.164393
3.984071,star56,-6,0.9991935
3.96817,star56,-6,0.8303935
3.951796,star56,-6,0.6579935
3.935171,star56,-6,0.6079935
3.929328,star56,-6,0.4319935
3.928241,star56,-6,0.3819935
3.918554,star56,-6,0.3319935
3.917516,star56,-6,0.2819935
3.905597,star56,-6,0.1023935
3.904539,star56,-6,0.05239352
3.898715,star56,-6,0.002393521
3.884813,star56,-6,-0.1808064
3.883757,star56,-6,-0.2308064
3.867002,star56,-6,-0.4176064
3.865965,star56,-6,-0.4676064
3.850898,star56,-6,-0.6580064
3.834807,star56,-6,-0.8520063
3.818409,star56,-6,-0.9020063
3.812575,star56,-6,-1.099606
3.801616,star56,-6,-1.149606
3.801616,star56,destroyed,destroyed
