Time,ObjectName,X,Y
25.73476,star35,-3,6.9464
25.71815,star35,-3,6.896399
25.7016,star35,-3,6.8392
25.70047,star35,-3,6.789199
25.68369,star35,-3,6.728399
25.66801,star35,-3,6.663999
25.65161,star35,-3,6.595999
25.635,star35,-3,6.545999
25.61829,star35,-3,6.474399
25.60592,star35,-3,6.399199
25.5996,star35,-3,6.349198
25.58488,star35,-3,6.270398
25.58375,star35,-3,6.220398
25.5784,star35,-3,6.170398
25.57745,star35,-3,6.120398
25.57266,star35,-3,6.037997
25.57166,star35,-3,5.987997
25.57074,star35,-3,5.937997
25.56983,star35,-3,5.887997
25.56887,star35,-3,5.837996
25.55576,star35,-3,5.787996
25.55025,star35,-3,5.701996
25.54928,star35,-3,5.651996
25.53881,star35,-3,5.601996
25.53786,star35,-3,5.551996
25.53697,star35,-3,5.501996
25.53606,star35,-3,5.451995
25.52231,star35,-3,5.362395
25.51675,star35,-3,5.312395
25.51587,star35,-3,5.262395
25.50559,star35,-3,5.169195
25.50446,star35,-3,5.119195
25.49903,star35,-3,5.069194
25.49813,star35,-3,5.019194
25.48774,star35,-3,4.922394
25.46803,star35,-3,4.821994
25.45127,star35,-3,4.717994
25.43495,star35,-3,4.610394
25.41809,star35,-3,4.560393
25.40164,star35,-3,4.449193
25.40058,star35,-3,4.399193
25.38355,star35,-3,4.284393
25.36825,star35,-3,4.165993
25.36213,star35,-3,4.115993
25.35664,star35,-3,4.065992
25.35575,star35,-3,4.015992
25.35477,star35,-3,3.893992
25.35376,star35,-3,3.843992
25.33511,star35,-3,3.793992
25.32977,star35,-3,3.668392
25.32878,star35,-3,3.618392
25.32333,star35,-3,3.568393
25.32236,star35,-3,3.518393
25.32137,star35,-3,3.468393
25.32046,star35,-3,3.418393
25.31958,star35,-3,3.368393
25.30565,star35,-3,3.239193
25.30455,star35,-3,3.189193
25.29918,star35,-3,3.139193
25.28473,star35,-3,3.006393
25.28366,star35,-3,2.956393
25.26754,star35,-3,2.819993
25.26646,star35,-3,2.769993
25.25096,star35,-3,2.629993
25.23481,star35,-3,2.486393
25.21828,star35,-3,2.436393
25.20181,star35,-3,2.289193
25.18512,star35,-3,2.138393
25.1685,star35,-3,1.983994
25.1517,star35,-3,1.825994
25.14549,star35,-3,1.775994
25.13988,star35,-3,1.725994
25.13898,star35,-3,1.675994
25.13806,star35,-3,1.625994
25.13707,star35,-3,1.575994
25.13615,star35,-3,1.525994
25.12235,star35,-3,1.364394
25.11666,star35,-3,1.314394
25.10159,star35,-3,1.149194
25.10048,star35,-3,1.099194
25.0841,star35,-3,0.9303942
25.06822,star35,-3,0.7579942
25.05171,star35,-3,0.5819942
25.03508,star35,-3,0.5319942
25.01823,star35,-3,0.3523943
25.01717,star35,-3,0.3023942
25.00039,star35,-3,0.1191943
24.98491,star35,-3,-0.06760566
24.97866,star35,-3,-0.1176057
24.97318,star35,-3,-0.3080056
24.97206,star35,-3,-0.3580056
24.96666,star35,-3,-0.4080057
24.95162,star35,-3,-0.6020056
24.95059,star35,-3,-0.6520056
24.93379,star35,-3,-0.8496056
24.93279,star35,-3,-0.8996056
24.91734,star35,-3,-0.9496056
24.91626,star35,-3,-0.9996056
24.90542,star35,-3,-1.200805
24.90427,star35,-3,-1.250805
24.89873,star35,-3,-1.300805
24.88479,star35,-3,-1.505605
24.88368,star35,-3,-1.555605
24.86741,star35,-3,-1.764005
24.86636,star35,-3,-1.814005
24.85103,star35,-3,-2.026005
24.83476,star35,-3,-2.241605
24.8181,star35,-3,-2.291605
24.80168,star35,-3,-2.510805
24.78495,star35,-3,-2.733605
24.77865,star35,-3,-2.783605
24.77316,star35,-3,-3.010005
24.77207,star35,-3,-3.060004
24.76674,star35,-3,-3.110004
24.75147,star35,-3,-3.340004
24.74976,star35,-3,-3.390004
24.73375,star35,-3,-3.623604
24.73258,star35,-3,-3.673604
24.7175,star35,-3,-3.723604
24.71637,star35,-3,-3.773604
24.70534,star35,destroyed,destroyed
