Time,ObjectName,X,Y
55.96882,star5,-2,6.948
55.96715,star5,-2,6.898
55.95321,star5,-2,6.843999
55.95175,star5,-2,6.793999
55.95036,star5,-2,6.743999
55.93661,star5,-2,6.687999
55.93526,star5,-2,6.637999
55.93385,star5,-2,6.587998
55.9199,star5,-2,6.529998
55.91844,star5,-2,6.479998
55.91705,star5,-2,6.429998
55.90319,star5,-2,6.379998
55.90174,star5,-2,6.329998
55.90034,star5,-2,6.269997
55.88634,star5,-2,6.219997
55.88486,star5,-2,6.169997
55.88347,star5,-2,6.119997
55.86987,star5,-2,6.057996
55.86845,star5,-2,6.007996
55.86703,star5,-2,5.957996
55.85299,star5,-2,5.893996
55.85144,star5,-2,5.843996
55.85004,star5,-2,5.793995
55.83652,star5,-2,5.727995
55.83449,star5,-2,5.677995
55.83195,star5,-2,5.627995
55.81911,star5,-2,5.559995
55.8177,star5,-2,5.509995
55.81633,star5,-2,5.459994
55.80326,star5,-2,5.409994
55.802,star5,-2,5.359994
55.80079,star5,-2,5.309994
55.78643,star5,-2,5.239994
55.78507,star5,-2,5.189993
55.78378,star5,-2,5.139993
55.7699,star5,-2,5.067993
55.76857,star5,-2,5.017993
55.76727,star5,-2,4.967993
55.75331,star5,-2,4.893992
55.75176,star5,-2,4.843992
55.75048,star5,-2,4.793992
55.73641,star5,-2,4.717992
55.73497,star5,-2,4.667992
55.73378,star5,-2,4.617991
55.71969,star5,-2,4.539991
55.71815,star5,-2,4.489991
55.71688,star5,-2,4.439991
55.70315,star5,-2,4.389991
55.70167,star5,-2,4.339991
55.70039,star5,-2,4.25999
55.68642,star5,-2,4.20999
55.68486,star5,-2,4.15999
55.68359,star5,-2,4.10999
55.66977,star5,-2,4.027989
55.66825,star5,-2,3.977989
55.66672,star5,-2,3.927989
55.65316,star5,-2,3.84399
55.65154,star5,-2,3.79399
55.65018,star5,-2,3.74399
55.63651,star5,-2,3.65799
55.63494,star5,-2,3.60799
55.63334,star5,-2,3.55799
55.61987,star5,-2,3.46999
55.61835,star5,-2,3.41999
55.61688,star5,-2,3.36999
55.60312,star5,-2,3.31999
55.60155,star5,-2,3.26999
55.60007,star5,-2,3.17999
55.58648,star5,-2,3.12999
55.58507,star5,-2,3.07999
55.58378,star5,-2,3.02999
55.56981,star5,-2,2.93799
55.56823,star5,-2,2.88799
55.56699,star5,-2,2.83799
55.55307,star5,-2,2.74399
55.55157,star5,-2,2.69399
55.55008,star5,-2,2.643991
55.53645,star5,-2,2.547991
55.53497,star5,-2,2.497991
55.53369,star5,-2,2.447991
55.5198,star5,-2,2.349991
55.51827,star5,-2,2.299991
55.51671,star5,-2,2.249991
55.50314,star5,-2,2.199991
55.50163,star5,-2,2.149991
55.50026,star5,-2,2.049991
55.48642,star5,-2,1.999991
55.48494,star5,-2,1.949991
55.48346,star5,-2,1.899991
55.46973,star5,-2,1.797991
55.46837,star5,-2,1.747991
55.46706,star5,-2,1.697991
55.45304,star5,-2,1.593991
55.45142,star5,-2,1.543991
55.45016,star5,-2,1.493991
55.43642,star5,-2,1.387991
55.43495,star5,-2,1.337991
55.43362,star5,-2,1.287991
55.41982,star5,-2,1.179991
55.41837,star5,-2,1.129992
55.41697,star5,-2,1.079992
55.40316,star5,-2,1.029992
55.40179,star5,-2,0.9799916
55.40057,star5,-2,0.8699916
55.38643,star5,-2,0.8199916
55.38494,star5,-2,0.7699916
55.38345,star5,-2,0.7199916
55.36979,star5,-2,0.6079916
55.36824,star5,-2,0.5579916
55.36657,star5,-2,0.5079916
55.35307,star5,-2,0.3939916
55.35143,star5,-2,0.3439915
55.34998,star5,-2,0.2939915
55.33644,star5,-2,0.1779916
55.33498,star5,-2,0.1279916
55.33345,star5,-2,0.07799156
55.31984,star5,-2,-0.04000841
55.31823,star5,-2,-0.09000842
55.31688,star5,-2,-0.1400084
55.30311,star5,-2,-0.1900084
55.30157,star5,-2,-0.2400084
55.30027,star5,-2,-0.3600084
55.28649,star5,-2,-0.4100084
55.28492,star5,-2,-0.4600084
55.28348,star5,-2,-0.5100085
55.26971,star5,-2,-0.6320084
55.26802,star5,-2,-0.6820084
55.26667,star5,-2,-0.7320085
55.2532,star5,-2,-0.8560085
55.25166,star5,-2,-0.9060085
55.25025,star5,-2,-0.9560085
55.2364,star5,-2,-1.082008
55.23486,star5,-2,-1.132008
55.2336,star5,-2,-1.182008
55.21935,star5,-2,-1.310008
55.21762,star5,-2,-1.360008
55.21603,star5,-2,-1.410008
55.20292,star5,-2,-1.460008
55.20112,star5,-2,-1.510008
55.19958,star5,-2,-1.640008
55.18633,star5,-2,-1.690008
55.18486,star5,-2,-1.740008
55.18333,star5,-2,-1.790008
55.16983,star5,-2,-1.922008
55.1685,star5,-2,-1.972008
55.16727,star5,-2,-2.022008
55.15291,star5,-2,-2.156008
55.15138,star5,-2,-2.206007
55.15006,star5,-2,-2.256007
55.13667,star5,-2,-2.392007
55.13538,star5,-2,-2.442007
55.13408,star5,-2,-2.492007
55.11999,star5,-2,-2.630007
55.11867,star5,-2,-2.680007
55.11738,star5,-2,-2.730007
55.10293,star5,-2,-2.780007
55.10145,star5,-2,-2.830007
55.10009,star5,-2,-2.970007
55.08627,star5,-2,-3.020007
55.08475,star5,-2,-3.070007
55.08349,star5,-2,-3.120007
55.08349,star5,destroyed,destroyed
