Time,ObjectName,X,Y
50.91194,star10,2,6.9464
50.90965,star10,2,6.896399
50.90018,star10,2,6.846399
50.88463,star10,2,6.789199
50.88357,star10,2,6.739199
50.87781,star10,2,6.689199
50.87688,star10,2,6.639199
50.87233,star10,2,6.578399
50.87114,star10,2,6.528399
50.86557,star10,2,6.478398
50.85192,star10,2,6.413998
50.85088,star10,2,6.363998
50.83429,star10,2,6.295998
50.83319,star10,2,6.245997
50.81802,star10,2,6.195997
50.80128,star10,2,6.124397
50.80017,star10,2,6.074397
50.78395,star10,2,5.999197
50.76837,star10,2,5.920397
50.75126,star10,2,5.837996
50.74533,star10,2,5.787996
50.73994,star10,2,5.737996
50.73894,star10,2,5.687996
50.73799,star10,2,5.637996
50.73708,star10,2,5.587996
50.73619,star10,2,5.537995
50.72227,star10,2,5.451995
50.7213,star10,2,5.401995
50.72038,star10,2,5.351995
50.71949,star10,2,5.301995
50.70567,star10,2,5.212395
50.69998,star10,2,5.162395
50.69899,star10,2,5.112394
50.68887,star10,2,5.019194
50.68778,star10,2,4.969194
50.68237,star10,2,4.919194
50.68149,star10,2,4.869194
50.67212,star10,2,4.772393
50.66645,star10,2,4.722393
50.65166,star10,2,4.621993
50.65057,star10,2,4.571993
50.63392,star10,2,4.467993
50.61825,star10,2,4.417993
50.60188,star10,2,4.310392
50.60081,star10,2,4.260392
50.58415,star10,2,4.149192
50.58305,star10,2,4.099192
50.56713,star10,2,3.984392
50.55171,star10,2,3.865992
50.53506,star10,2,3.815992
50.51793,star10,2,3.693992
50.50163,star10,2,3.568392
50.48495,star10,2,3.439192
50.46797,star10,2,3.306392
50.4513,star10,2,3.169992
50.43485,star10,2,3.029993
50.41813,star10,2,2.979993
50.40154,star10,2,2.836393
50.39546,star10,2,2.786393
50.39006,star10,2,2.639193
50.38903,star10,2,2.589193
50.38358,star10,2,2.539193
50.38257,star10,2,2.489193
50.37223,star10,2,2.338393
50.37117,star10,2,2.288393
50.36568,star10,2,2.238393
50.35172,star10,2,2.083993
50.35056,star10,2,2.033993
50.33392,star10,2,1.875993
50.33278,star10,2,1.825993
50.31761,star10,2,1.775993
50.30176,star10,2,1.614393
50.30067,star10,2,1.564394
50.28405,star10,2,1.399194
50.26842,star10,2,1.230394
50.25146,star10,2,1.057994
50.23486,star10,2,0.8819939
50.21833,star10,2,0.8319939
50.20113,star10,2,0.652394
50.18474,star10,2,0.469194
50.17864,star10,2,0.419194
50.17315,star10,2,0.2323941
50.17207,star10,2,0.1823941
50.16667,star10,2,0.1323941
50.15145,star10,2,-0.05800589
50.15038,star10,2,-0.1080059
50.14473,star10,2,-0.1580059
50.1438,star10,2,-0.2080059
50.13896,star10,2,-0.2580059
50.13789,star10,2,-0.3080059
50.13697,star10,2,-0.3580059
50.13609,star10,2,-0.4080059
50.13609,star10,destroyed,destroyed
