Time,ObjectName,X,Y
48.88402,star12,4,6.9464
48.86836,star12,4,6.8892
48.85164,star12,4,6.8284
48.8448,star12,4,6.778399
48.83495,star12,4,6.713999
48.83379,star12,4,6.663999
48.81731,star12,4,6.613999
48.81618,star12,4,6.563999
48.80546,star12,4,6.495998
48.79965,star12,4,6.445998
48.78498,star12,4,6.374398
48.7825,star12,4,6.324398
48.76676,star12,4,6.249198
48.75143,star12,4,6.170398
48.73449,star12,4,6.087997
48.71826,star12,4,6.037997
48.70084,star12,4,5.951997
48.69857,star12,4,5.901997
48.68306,star12,4,5.812397
48.66812,star12,4,5.719197
48.66695,star12,4,5.669197
48.6556,star12,4,5.619196
48.65457,star12,4,5.522396
48.6534,star12,4,5.472396
48.63483,star12,4,5.371996
48.61752,star12,4,5.321996
48.60163,star12,4,5.217996
48.58492,star12,4,5.110395
48.56846,star12,4,4.999195
48.56218,star12,4,4.949195
48.55657,star12,4,4.899195
48.5556,star12,4,4.849195
48.55469,star12,4,4.734395
48.55359,star12,4,4.684394
48.53463,star12,4,4.565994
48.51842,star12,4,4.515994
48.50183,star12,4,4.393994
48.50077,star12,4,4.343994
48.48378,star12,4,4.218393
48.48257,star12,4,4.168393
48.46733,star12,4,4.039193
48.45155,star12,4,3.906393
48.435,star12,4,3.856393
48.41841,star12,4,3.719993
48.40155,star12,4,3.579993
48.38471,star12,4,3.436393
48.36817,star12,4,3.289194
48.35084,star12,4,3.138394
48.33477,star12,4,2.983994
48.31813,star12,4,2.933994
48.31206,star12,4,2.775994
48.30657,star12,4,2.725994
48.30118,star12,4,2.675994
48.30018,star12,4,2.625994
48.28862,star12,4,2.464394
48.28736,star12,4,2.414394
48.26827,star12,4,2.249194
48.25155,star12,4,2.080394
48.23495,star12,4,1.907994
48.21835,star12,4,1.857994
48.20147,star12,4,1.681995
48.18505,star12,4,1.502395
48.16833,star12,4,1.319195
48.15162,star12,4,1.132395
48.13474,star12,4,0.941995
48.11816,star12,4,0.891995
48.10151,star12,4,0.697995
48.08396,star12,4,0.5003951
48.06762,star12,4,0.2991951
48.0512,star12,4,0.09439518
48.0347,star12,4,-0.1140047
48.0179,star12,4,-0.1640047
48.00119,star12,4,-0.3760047
47.99997,star12,4,-0.4260047
47.98289,star12,4,-0.6416047
47.96834,star12,4,-0.8608046
47.95194,star12,4,-1.083605
47.93499,star12,4,-1.133605
47.91778,star12,4,-1.360004
47.91659,star12,4,-1.410004
47.9005,star12,4,-1.640004
47.88483,star12,4,-1.873604
47.86813,star12,4,-2.110804
47.85155,star12,4,-2.351604
47.83476,star12,4,-2.596004
47.83353,star12,4,-2.646004
47.81696,star12,4,-2.696004
47.80135,star12,4,-2.944004
47.80015,star12,4,-2.994004
47.78864,star12,4,-3.245604
47.78738,star12,4,-3.295604
47.78127,star12,4,-3.345604
47.76808,star12,4,-3.600804
47.7669,star12,4,-3.650804
47.76114,star12,4,-3.700804
47.76011,star12,4,-3.750803
47.7557,star12,4,-3.800803
47.75457,star12,destroyed,destroyed
