Time,ObjectName,X,Y
1.568243,star59,5,6.9464
1.551394,star59,5,6.8892
1.534915,star59,5,6.8284
1.517482,star59,5,6.778399
1.501148,star59,5,6.713999
1.500044,star59,5,6.663999
1.483934,star59,5,6.595999
1.46833,star59,5,6.524399
1.451615,star59,5,6.449199
1.434744,star59,5,6.370399
1.428717,star59,5,6.320398
1.423253,star59,5,6.270398
1.422236,star59,5,6.220398
1.42136,star59,5,6.170398
1.420454,star59,5,6.120398
1.419563,star59,5,6.070397
1.405543,star59,5,5.987997
1.404554,star59,5,5.937997
1.399147,star59,5,5.887997
1.384807,star59,5,5.801997
1.383773,star59,5,5.751997
1.367119,star59,5,5.662396
1.366042,star59,5,5.612396
1.350813,star59,5,5.519196
1.34987,star59,5,5.469196
1.334289,star59,5,5.372396
1.333259,star59,5,5.322395
1.317382,star59,5,5.272395
1.301549,star59,5,5.171995
1.300472,star59,5,5.121995
1.283819,star59,5,5.017995
1.26818,star59,5,4.910395
1.251894,star59,5,4.799194
1.23481,star59,5,4.684394
1.218309,star59,5,4.634394
1.201487,star59,5,4.515994
1.18499,star59,5,4.393994
1.178748,star59,5,4.343994
1.173439,star59,5,4.218393
1.172412,star59,5,4.168393
1.167151,star59,5,4.118393
1.151571,star59,5,3.989193
1.150429,star59,5,3.939193
1.134159,star59,5,3.806393
1.133159,star59,5,3.756393
1.117426,star59,5,3.706393
1.116327,star59,5,3.656394
1.105428,star59,5,3.519994
1.104349,star59,5,3.469994
1.098822,star59,5,3.419994
1.08478,star59,5,3.279994
1.083758,star59,5,3.229994
1.078143,star59,5,3.179994
1.077143,star59,5,3.129994
1.072338,star59,5,2.986394
1.070927,star59,5,2.936394
1.065339,star59,5,2.886394
1.051695,star59,5,2.739194
1.050543,star59,5,2.689194
1.033812,star59,5,2.538394
1.032765,star59,5,2.488394
1.017903,star59,5,2.438394
1.001527,star59,5,2.283994
1.00046,star59,5,2.233994
0.9836807,star59,5,2.075994
0.968177,star59,5,1.914395
0.9517114,star59,5,1.749195
0.934818,star59,5,1.580395
0.9286537,star59,5,1.530395
0.9232002,star59,5,1.480395
0.9221249,star59,5,1.430395
0.9211507,star59,5,1.380395
0.9202556,star59,5,1.330395
0.9193268,star59,5,1.280395
0.9055572,star59,5,1.107995
0.9045447,star59,5,1.057995
0.8990541,star59,5,1.007995
0.8847561,star59,5,0.8319954
0.8835894,star59,5,0.7819954
0.867227,star59,5,0.6023955
0.8661344,star59,5,0.5523955
0.8507158,star59,5,0.3691955
0.8349107,star59,5,0.1823955
0.8177804,star59,5,0.1323956
0.8013735,star59,5,-0.0580044
0.7849135,star59,5,-0.2520044
0.7788139,star59,5,-0.3020044
0.7680868,star59,5,-0.4996043
0.7515818,star59,5,-0.7008043
0.7348932,star59,5,-0.9056042
0.7184193,star59,5,-0.9556043
0.7009627,star59,5,-1.164004
0.6847589,star59,5,-1.376004
0.6684082,star59,5,-1.591604
0.6517153,star59,5,-1.810804
0.6348517,star59,5,-2.033604
0.6286303,star59,5,-2.083604
0.6232271,star59,5,-2.133604
0.6222546,star59,5,-2.183604
0.6213586,star59,5,-2.233603
0.6204444,star59,5,-2.283603
0.6195601,star59,5,-2.333603
0.6055366,star59,5,-2.560003
0.6000364,star59,5,-2.610003
0.5851898,star59,5,-2.840003
0.5841529,star59,5,-2.890003
0.5486568,star59,5,-3.310803
0.5312788,star59,5,-3.551603
0.5218025,star59,5,-3.601603
0.5126514,star59,5,-3.846003
0.4978978,star59,5,-3.896003
0.4813094,star59,destroyed,destroyed
