Time,ObjectName,X,Y
42.98316,star3,-4,6.95
42.96969,star3,-4,6.9
42.96837,star3,-4,6.849999
42.9672,star3,-4,6.799999
42.95248,star3,-4,6.747999
42.94773,star3,-4,6.697999
42.93558,star3,-4,6.643999
42.93421,star3,-4,6.593998
42.93293,star3,-4,6.543998
42.91928,star3,-4,6.487998
42.91777,star3,-4,6.437998
42.91632,star3,-4,6.387998
42.9017,star3,-4,6.329998
42.9003,star3,-4,6.279997
42.88622,star3,-4,6.219997
42.88492,star3,-4,6.169997
42.88363,star3,-4,6.119997
42.88244,star3,-4,6.069996
42.86811,star3,-4,6.019996
42.84949,star3,-4,5.957996
42.83293,star3,-4,5.893996
42.8312,star3,-4,5.843996
42.82948,star3,-4,5.793995
42.82815,star3,-4,5.743995
42.82703,star3,-4,5.693995
42.82593,star3,-4,5.627995
42.82486,star3,-4,5.577995
42.81811,star3,-4,5.527995
42.8168,star3,-4,5.477994
42.80122,star3,-4,5.409994
42.79982,star3,-4,5.359994
42.78518,star3,-4,5.289994
42.78402,star3,-4,5.239994
42.78282,star3,-4,5.189993
42.76854,star3,-4,5.139993
42.76756,star3,-4,5.089993
42.76654,star3,-4,5.017993
42.75196,star3,-4,4.967993
42.75094,star3,-4,4.917993
42.74993,star3,-4,4.867992
42.73495,star3,-4,4.793992
42.71503,star3,-4,4.717992
42.70001,star3,-4,4.639992
42.6985,star3,-4,4.589992
42.68513,star3,-4,4.509991
42.68404,star3,-4,4.459991
42.68293,star3,-4,4.409991
42.6685,star3,-4,4.359991
42.66723,star3,-4,4.30999
42.66612,star3,-4,4.22799
42.6517,star3,-4,4.17799
42.65054,star3,-4,4.12799
42.63522,star3,-4,4.04399
42.63403,star3,-4,3.99399
42.63283,star3,-4,3.94399
42.61818,star3,-4,3.85799
42.59945,star3,-4,3.76999
42.59799,star3,-4,3.71999
42.5848,star3,-4,3.62999
42.58315,star3,-4,3.57999
42.56838,star3,-4,3.52999
42.567,star3,-4,3.47999
42.55142,star3,-4,3.38799
42.53265,star3,-4,3.29399
42.51736,star3,-4,3.19799
42.49837,star3,-4,3.09999
42.49669,star3,-4,3.04999
42.48482,star3,-4,2.94999
42.48333,star3,-4,2.89999
42.46784,star3,-4,2.84999
42.46597,star3,-4,2.74799
42.45124,star3,-4,2.69799
42.44946,star3,-4,2.64799
42.43465,star3,-4,2.543991
42.43272,star3,-4,2.493991
42.41582,star3,-4,2.387991
42.4102,star3,-4,2.337991
42.40873,star3,-4,2.287991
42.40717,star3,-4,2.237991
42.40034,star3,-4,2.129991
42.38248,star3,-4,2.019991
42.38081,star3,-4,1.969991
42.36797,star3,-4,1.919991
42.36628,star3,-4,1.807991
42.35131,star3,-4,1.757991
42.34981,star3,-4,1.707991
42.33478,star3,-4,1.593991
42.33292,star3,-4,1.543991
42.31803,star3,-4,1.427991
42.30016,star3,-4,1.309991
42.28041,star3,-4,1.189991
42.27839,star3,-4,1.139992
42.26725,star3,-4,1.089992
42.26459,star3,-4,0.9679915
42.25093,star3,-4,0.9179915
42.24898,star3,-4,0.8679915
42.23111,star3,-4,0.7439916
42.22936,star3,-4,0.6939915
42.21761,star3,-4,0.5679916
42.21574,star3,-4,0.5179915
42.20222,star3,-4,0.3899916
42.20037,star3,-4,0.3399916
42.19891,star3,-4,0.2899916
42.18541,star3,-4,0.1599916
42.18002,star3,-4,0.1099916
42.17853,star3,-4,0.05999159
42.16927,star3,-4,0.009991594
42.1678,star3,-4,-0.04000841
42.16622,star3,-4,-0.1720084
42.15258,star3,-4,-0.2220084
42.15108,star3,-4,-0.2720084
42.14972,star3,-4,-0.3220084
42.13606,star3,-4,-0.4560083
42.13437,star3,-4,-0.5060083
42.13303,star3,-4,-0.5560083
42.11814,star3,-4,-0.6920083
42.11646,star3,-4,-0.7420083
42.10023,star3,-4,-0.8800083
42.09847,star3,-4,-0.9300083
42.08091,star3,-4,-1.070008
42.06507,star3,-4,-1.212008
42.06326,star3,-4,-1.262008
42.05149,star3,-4,-1.312008
42.05011,star3,-4,-1.362008
42.03485,star3,-4,-1.506008
42.03332,star3,-4,-1.556008
42.0181,star3,-4,-1.702008
42.00819,star3,-4,-1.752008
42.00027,star3,-4,-1.900008
41.98458,star3,-4,-2.050008
41.98262,star3,-4,-2.100008
41.96772,star3,-4,-2.150007
41.94864,star3,-4,-2.302007
41.94652,star3,-4,-2.456007
41.93206,star3,-4,-2.506007
41.92981,star3,-4,-2.556007
41.91935,star3,-4,-2.712007
41.91766,star3,-4,-2.762007
41.9162,star3,-4,-2.812007
41.89712,star3,-4,-2.970007
41.89712,star3,destroyed,destroyed
