Time,ObjectName,X,Y
13.66945,star47,-2,6.95
13.64893,star47,-2,6.896399
13.63476,star47,-2,6.8392
13.62893,star47,-2,6.789199
13.62346,star47,-2,6.739199
13.62232,star47,-2,6.689199
13.62126,star47,-2,6.639199
13.62026,star47,-2,6.589199
13.61927,star47,-2,6.539198
13.60542,star47,-2,6.478398
13.59903,star47,-2,6.428398
13.58442,star47,-2,6.363998
13.58216,star47,-2,6.313998
13.56725,star47,-2,6.245997
13.55145,star47,-2,6.174397
13.53488,star47,-2,6.099197
13.5179,star47,-2,6.049197
13.50116,star47,-2,5.970397
13.49995,star47,-2,5.920397
13.48414,star47,-2,5.837996
13.46805,star47,-2,5.751997
13.46181,star47,-2,5.701996
13.45624,star47,-2,5.651996
13.45508,star47,-2,5.601996
13.45333,star47,-2,5.512396
13.45163,star47,-2,5.462396
13.4338,star47,-2,5.369195
13.41839,star47,-2,5.319195
13.4018,star47,-2,5.222395
13.40074,star47,-2,5.172395
13.38432,star47,-2,5.071995
13.38323,star47,-2,5.021995
13.36715,star47,-2,4.917994
13.35159,star47,-2,4.810394
13.34582,star47,-2,4.760394
13.34052,star47,-2,4.710394
13.33955,star47,-2,4.660394
13.33863,star47,-2,4.610394
13.33776,star47,-2,4.560393
13.33683,star47,-2,4.510393
13.33595,star47,-2,4.460393
13.32233,star47,-2,4.349193
13.31661,star47,-2,4.299192
13.30134,star47,-2,4.184392
13.30024,star47,-2,4.134392
13.28416,star47,-2,4.015992
13.2682,star47,-2,3.893992
13.26244,star47,-2,3.843992
13.25701,star47,-2,3.793992
13.25614,star47,-2,3.743992
13.25523,star47,-2,3.693992
13.25425,star47,-2,3.568393
13.25325,star47,-2,3.518393
13.235,star47,-2,3.468393
13.21816,star47,-2,3.339193
13.21704,star47,-2,3.289193
13.20083,star47,-2,3.156393
13.18498,star47,-2,3.019993
13.1682,star47,-2,2.879993
13.15178,star47,-2,2.736393
13.13451,star47,-2,2.589193
13.11832,star47,-2,2.539193
13.1014,star47,-2,2.388393
13.10023,star47,-2,2.338393
13.08382,star47,-2,2.183993
13.06828,star47,-2,2.025993
13.05168,star47,-2,1.864393
13.0457,star47,-2,1.814394
13.04021,star47,-2,1.764394
13.03927,star47,-2,1.714394
13.03835,star47,-2,1.664394
13.03745,star47,-2,1.614394
13.03652,star47,-2,1.564394
13.03566,star47,-2,1.514394
13.02237,star47,-2,1.349194
13.02124,star47,-2,1.299194
13.01574,star47,-2,1.249194
13.01484,star47,-2,1.080394
13.00548,star47,-2,1.030394
12.99971,star47,-2,0.9803942
12.99874,star47,-2,0.9303942
12.98894,star47,-2,0.7579942
12.98785,star47,-2,0.7079942
12.98218,star47,-2,0.6579942
12.98121,star47,-2,0.6079941
12.97209,star47,-2,0.4319942
12.96644,star47,-2,0.3819942
12.95151,star47,-2,0.2023942
12.95045,star47,-2,0.1523942
12.93401,star47,-2,-0.03080576
12.91821,star47,-2,-0.08080576
12.90179,star47,-2,-0.2676057
12.90063,star47,-2,-0.3176057
12.88401,star47,-2,-0.5080057
12.88295,star47,-2,-0.5580057
12.86752,star47,-2,-0.7520056
12.85162,star47,-2,-0.9496056
12.83486,star47,-2,-1.150805
12.81822,star47,-2,-1.200805
12.8015,star47,-2,-1.405605
12.80034,star47,-2,-1.455605
12.79438,star47,-2,-1.664005
12.79335,star47,-2,-1.714005
12.78454,star47,-2,-1.764005
12.76843,star47,-2,-1.976005
12.76733,star47,-2,-2.026005
12.75082,star47,-2,-2.241605
12.73483,star47,-2,-2.460805
12.71804,star47,-2,-2.510805
12.70172,star47,-2,-2.733605
12.68494,star47,-2,-2.960005
12.67891,star47,-2,-3.010005
12.67353,star47,-2,-3.240005
12.67252,star47,-2,-3.290004
12.66679,star47,-2,-3.340004
12.65128,star47,-2,-3.573604
12.64998,star47,-2,-3.623604
12.63383,star47,-2,-3.860804
12.63266,star47,-2,-3.910804
12.61737,star47,-2,-3.960804
12.61626,star47,destroyed,destroyed
