Time,ObjectName,X,Y
24.74976,star36,3,6.95
24.73375,star36,3,6.896399
24.73258,star36,3,6.846399
24.7175,star36,3,6.796399
24.71637,star36,3,6.746399
24.70534,star36,3,6.689199
24.70286,star36,3,6.639199
24.68462,star36,3,6.578399
24.66809,star36,3,6.513999
24.65132,star36,3,6.445998
24.63491,star36,3,6.374398
24.61823,star36,3,6.324398
24.59371,star36,3,6.220398
24.59257,star36,3,6.170398
24.58402,star36,3,6.120398
24.56069,star36,3,6.037997
24.55956,star36,3,5.987997
24.55102,star36,3,5.901997
24.53512,star36,3,5.851997
24.5184,star36,3,5.762397
24.51726,star36,3,5.712397
24.50065,star36,3,5.619196
24.49956,star36,3,5.569196
24.48421,star36,3,5.472396
24.46816,star36,3,5.371996
24.45184,star36,3,5.267996
24.43512,star36,3,5.217996
24.41853,star36,3,5.110395
24.41743,star36,3,5.060395
24.40054,star36,3,4.949195
24.3849,star36,3,4.834395
24.36829,star36,3,4.715995
24.35138,star36,3,4.593995
24.33485,star36,3,4.468394
24.31782,star36,3,4.418394
24.31236,star36,3,4.289194
24.31123,star36,3,4.239194
24.30165,star36,3,4.189194
24.30067,star36,3,4.139194
24.28877,star36,3,4.006393
24.28755,star36,3,3.956393
24.28205,star36,3,3.906394
24.26864,star36,3,3.769994
24.26766,star36,3,3.719994
24.25105,star36,3,3.579994
24.25004,star36,3,3.529994
24.23447,star36,3,3.386394
24.21821,star36,3,3.336394
24.20183,star36,3,3.189194
24.20077,star36,3,3.139194
24.18424,star36,3,2.988394
24.18327,star36,3,2.938394
24.16768,star36,3,2.783994
24.15143,star36,3,2.625994
24.13496,star36,3,2.464394
24.12898,star36,3,2.414394
24.11832,star36,3,2.364394
24.11724,star36,3,2.314394
24.10535,star36,3,2.149194
24.10419,star36,3,2.099195
24.08475,star36,3,1.930395
24.06824,star36,3,1.757995
24.05153,star36,3,1.581995
24.03464,star36,3,1.402395
24.01829,star36,3,1.352395
24.00155,star36,3,1.169195
24.00044,star36,3,1.119195
23.98366,star36,3,0.9323953
23.96819,star36,3,0.7419953
23.95178,star36,3,0.5479954
23.93461,star36,3,0.3503954
23.91805,star36,3,0.3003954
23.90088,star36,3,0.0991955
23.88464,star36,3,-0.1056044
23.86822,star36,3,-0.3140044
23.85156,star36,3,-0.5260043
23.83474,star36,3,-0.7416043
23.81821,star36,3,-0.7916043
23.80161,star36,3,-1.010804
23.80046,star36,3,-1.060804
23.78329,star36,3,-1.283604
23.76824,star36,3,-1.510004
23.75158,star36,3,-1.740004
23.73458,star36,3,-1.973604
23.71819,star36,3,-2.023604
23.70115,star36,3,-2.260804
23.68504,star36,3,-2.501604
23.66829,star36,3,-2.746004
23.65151,star36,3,-2.994004
23.63407,star36,3,-3.245604
23.61721,star36,3,-3.295604
23.60081,star36,3,-3.550803
23.58463,star36,3,-3.809603
23.56759,star36,destroyed,destroyed
